2022-08-23 20:53:07,Option,Strike,Price,Sell Premium,Delta,Gamma,Vega,Rho
2022-08-23 20:53:10,Put,20500.0,21515.67,0.0025,-0.12778,0.00022,2.92728,-0.11904
2022-08-23 20:53:10,Call,22500.0,21515.67,0.002,0.12092,0.00025,2.81655,0.10822
2022-08-23 20:53:15,Put,20500.0,21517.51,0.0025,-0.12685,0.00022,2.91307,-0.1182
2022-08-23 20:53:15,Call,22500.0,21517.51,0.002,0.12138,0.00025,2.82424,0.10863
2022-08-23 20:53:20,Put,20500.0,21517.78,0.0025,-0.12745,0.00022,2.92224,-0.11874
2022-08-23 20:53:20,Call,22500.0,21517.78,0.002,0.1212,0.00025,2.82132,0.10847
2022-08-23 20:53:25,Put,20500.0,21527.03,0.0025,-0.1267,0.00022,2.91074,-0.11806
2022-08-23 20:53:25,Call,22500.0,21527.03,0.002,0.12209,0.00025,2.83633,0.10928
